ccaa;ccaa_2;nacionalidad;anio;edad_media;ind_fecundidad
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2012;33.06;1.38
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2011;32.95;1.36
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2010;32.7;1.31
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2009;32.67;1.33
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2008;32.64;1.35
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2007;32.64;1.29
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2006;32.55;1.3
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2005;32.65;1.26
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2004;32.61;1.3
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2003;32.51;1.3
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2002;32.5;1.25
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2001;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2000;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1999;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1998;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1997;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1996;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1995;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1994;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1993;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1992;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1991;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1990;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1989;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1988;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1987;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1986;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1985;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1984;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1983;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1982;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1981;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1980;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1979;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1978;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1977;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1976;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;1975;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2020;30.09;1.88
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2019;30.01;2.03
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2018;29.81;1.98
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2017;29.52;2.13
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2016;29.46;1.9
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2015;29.65;1.93
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2014;29.12;1.73
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2013;29.18;1.62
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2012;29.18;1.76
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2011;29.09;1.65
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2010;28.41;1.84
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2009;28.55;1.78
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2008;27.98;1.91
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2007;27.62;1.79
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2006;27.91;1.93
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2005;27.92;1.66
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2004;27.71;1.84
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2003;27.09;1.84
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2002;26.84;1.74
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2001;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;2000;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1999;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1998;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1997;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1996;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1995;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1994;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1993;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1992;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1991;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1990;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1989;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1988;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1987;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1986;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1985;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1984;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1983;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1982;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1981;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1980;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1979;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1978;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1977;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1976;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;extranjera;1975;;
16 Pais Vasco;Pais Vasco;ambas;2020;33.09;1.25
16 Pais Vasco;Pais Vasco;ambas;2019;32.91;1.28
16 Pais Vasco;Pais Vasco;ambas;2018;33;1.31
16 Pais Vasco;Pais Vasco;ambas;2017;32.93;1.35
16 Pais Vasco;Pais Vasco;ambas;2016;32.84;1.39
16 Pais Vasco;Pais Vasco;ambas;2015;32.82;1.39
16 Pais Vasco;Pais Vasco;ambas;2014;32.63;1.38
16 Pais Vasco;Pais Vasco;ambas;2013;32.72;1.3
16 Pais Vasco;Pais Vasco;ambas;2012;32.61;1.35
16 Pais Vasco;Pais Vasco;ambas;2011;32.51;1.35
16 Pais Vasco;Pais Vasco;ambas;2010;32.4;1.33
16 Pais Vasco;Pais Vasco;ambas;2009;32.22;1.29
16 Pais Vasco;Pais Vasco;ambas;2008;32.21;1.3
16 Pais Vasco;Pais Vasco;ambas;2007;32.21;1.25
16 Pais Vasco;Pais Vasco;ambas;2006;32.36;1.21
16 Pais Vasco;Pais Vasco;ambas;2005;32.45;1.18
16 Pais Vasco;Pais Vasco;ambas;2004;32.42;1.18
16 Pais Vasco;Pais Vasco;ambas;2003;32.41;1.16
16 Pais Vasco;Pais Vasco;ambas;2002;32.28;1.09
16 Pais Vasco;Pais Vasco;ambas;2001;32.32;1.05
16 Pais Vasco;Pais Vasco;ambas;2000;32.14;1.03
16 Pais Vasco;Pais Vasco;ambas;1999;32.08;0.99
16 Pais Vasco;Pais Vasco;ambas;1998;31.84;0.95
16 Pais Vasco;Pais Vasco;ambas;1997;31.63;0.96
16 Pais Vasco;Pais Vasco;ambas;1996;31.49;0.94
16 Pais Vasco;Pais Vasco;ambas;1995;31.14;0.9
16 Pais Vasco;Pais Vasco;ambas;1994;30.82;0.9
16 Pais Vasco;Pais Vasco;ambas;1993;30.59;0.94
16 Pais Vasco;Pais Vasco;ambas;1992;30.29;0.97
16 Pais Vasco;Pais Vasco;ambas;1991;30.09;0.97
16 Pais Vasco;Pais Vasco;ambas;1990;29.73;0.98
16 Pais Vasco;Pais Vasco;ambas;1989;29.6;1.03
16 Pais Vasco;Pais Vasco;ambas;1988;29.34;1.1
16 Pais Vasco;Pais Vasco;ambas;1987;29.23;1.14
16 Pais Vasco;Pais Vasco;ambas;1986;29.34;1.24
16 Pais Vasco;Pais Vasco;ambas;1985;29.01;1.29
16 Pais Vasco;Pais Vasco;ambas;1984;28.94;1.39
16 Pais Vasco;Pais Vasco;ambas;1983;28.77;1.5
16 Pais Vasco;Pais Vasco;ambas;1982;28.75;1.62
16 Pais Vasco;Pais Vasco;ambas;1981;28.55;1.73
16 Pais Vasco;Pais Vasco;ambas;1980;28.55;1.86
16 Pais Vasco;Pais Vasco;ambas;1979;28.45;2.09
16 Pais Vasco;Pais Vasco;ambas;1978;28.47;2.39
16 Pais Vasco;Pais Vasco;ambas;1977;28.42;2.65
16 Pais Vasco;Pais Vasco;ambas;1976;28.44;2.84
16 Pais Vasco;Pais Vasco;ambas;1975;28.8;2.78
16 Pais Vasco;Pais Vasco;espanola;2020;33.86;1.13
16 Pais Vasco;Pais Vasco;espanola;2019;33.74;1.15
16 Pais Vasco;Pais Vasco;espanola;2018;33.78;1.17
16 Pais Vasco;Pais Vasco;espanola;2017;33.62;1.23
16 Pais Vasco;Pais Vasco;espanola;2016;33.48;1.27
16 Pais Vasco;Pais Vasco;espanola;2015;33.49;1.27
16 Pais Vasco;Pais Vasco;espanola;2014;33.27;1.29
16 Pais Vasco;Pais Vasco;espanola;2013;33.47;1.22
16 Pais Vasco;Pais Vasco;espanola;2012;33.36;1.27
16 Pais Vasco;Pais Vasco;espanola;2011;33.25;1.28
16 Pais Vasco;Pais Vasco;espanola;2010;33.17;1.26
16 Pais Vasco;Pais Vasco;espanola;2009;33.03;1.2
16 Pais Vasco;Pais Vasco;espanola;2008;33;1.21
16 Pais Vasco;Pais Vasco;espanola;2007;32.9;1.19
16 Pais Vasco;Pais Vasco;espanola;2006;32.88;1.17
16 Pais Vasco;Pais Vasco;espanola;2005;32.86;1.16
16 Pais Vasco;Pais Vasco;espanola;2004;32.75;1.15
16 Pais Vasco;Pais Vasco;espanola;2003;32.67;1.14
16 Pais Vasco;Pais Vasco;espanola;2002;32.5;1.07
16 Pais Vasco;Pais Vasco;espanola;2001;;
16 Pais Vasco;Pais Vasco;espanola;2000;;
16 Pais Vasco;Pais Vasco;espanola;1999;;
16 Pais Vasco;Pais Vasco;espanola;1998;;
16 Pais Vasco;Pais Vasco;espanola;1997;;
16 Pais Vasco;Pais Vasco;espanola;1996;;
16 Pais Vasco;Pais Vasco;espanola;1995;;
16 Pais Vasco;Pais Vasco;espanola;1994;;
16 Pais Vasco;Pais Vasco;espanola;1993;;
16 Pais Vasco;Pais Vasco;espanola;1992;;
16 Pais Vasco;Pais Vasco;espanola;1991;;
16 Pais Vasco;Pais Vasco;espanola;1990;;
16 Pais Vasco;Pais Vasco;espanola;1989;;
16 Pais Vasco;Pais Vasco;espanola;1988;;
16 Pais Vasco;Pais Vasco;espanola;1987;;
16 Pais Vasco;Pais Vasco;espanola;1986;;
16 Pais Vasco;Pais Vasco;espanola;1985;;
16 Pais Vasco;Pais Vasco;espanola;1984;;
16 Pais Vasco;Pais Vasco;espanola;1983;;
16 Pais Vasco;Pais Vasco;espanola;1982;;
16 Pais Vasco;Pais Vasco;espanola;1981;;
16 Pais Vasco;Pais Vasco;espanola;1980;;
16 Pais Vasco;Pais Vasco;espanola;1979;;
16 Pais Vasco;Pais Vasco;espanola;1978;;
16 Pais Vasco;Pais Vasco;espanola;1977;;
16 Pais Vasco;Pais Vasco;espanola;1976;;
16 Pais Vasco;Pais Vasco;espanola;1975;;
16 Pais Vasco;Pais Vasco;extranjera;2020;30.41;1.88
16 Pais Vasco;Pais Vasco;extranjera;2019;29.98;2.09
16 Pais Vasco;Pais Vasco;extranjera;2018;30;2.22
16 Pais Vasco;Pais Vasco;extranjera;2017;29.79;2.23
16 Pais Vasco;Pais Vasco;extranjera;2016;29.98;2.39
16 Pais Vasco;Pais Vasco;extranjera;2015;29.51;2.3
16 Pais Vasco;Pais Vasco;extranjera;2014;29.32;2.13
16 Pais Vasco;Pais Vasco;extranjera;2013;28.99;1.89
16 Pais Vasco;Pais Vasco;extranjera;2012;28.78;1.79
16 Pais Vasco;Pais Vasco;extranjera;2011;28.72;1.7
16 Pais Vasco;Pais Vasco;extranjera;2010;28.49;1.67
16 Pais Vasco;Pais Vasco;extranjera;2009;28.61;1.8
16 Pais Vasco;Pais Vasco;extranjera;2008;28.64;1.88
16 Pais Vasco;Pais Vasco;extranjera;2007;27.97;1.6
16 Pais Vasco;Pais Vasco;extranjera;2006;28.07;1.48
16 Pais Vasco;Pais Vasco;extranjera;2005;28.28;1.47
16 Pais Vasco;Pais Vasco;extranjera;2004;28.18;1.53
16 Pais Vasco;Pais Vasco;extranjera;2003;28.35;1.6
16 Pais Vasco;Pais Vasco;extranjera;2002;27.72;1.64
16 Pais Vasco;Pais Vasco;extranjera;2001;;
16 Pais Vasco;Pais Vasco;extranjera;2000;;
16 Pais Vasco;Pais Vasco;extranjera;1999;;
16 Pais Vasco;Pais Vasco;extranjera;1998;;
16 Pais Vasco;Pais Vasco;extranjera;1997;;
16 Pais Vasco;Pais Vasco;extranjera;1996;;
16 Pais Vasco;Pais Vasco;extranjera;1995;;
16 Pais Vasco;Pais Vasco;extranjera;1994;;
16 Pais Vasco;Pais Vasco;extranjera;1993;;
16 Pais Vasco;Pais Vasco;extranjera;1992;;
16 Pais Vasco;Pais Vasco;extranjera;1991;;
16 Pais Vasco;Pais Vasco;extranjera;1990;;
16 Pais Vasco;Pais Vasco;extranjera;1989;;
16 Pais Vasco;Pais Vasco;extranjera;1988;;
16 Pais Vasco;Pais Vasco;extranjera;1987;;
16 Pais Vasco;Pais Vasco;extranjera;1986;;
16 Pais Vasco;Pais Vasco;extranjera;1985;;
16 Pais Vasco;Pais Vasco;extranjera;1984;;
16 Pais Vasco;Pais Vasco;extranjera;1983;;
16 Pais Vasco;Pais Vasco;extranjera;1982;;
16 Pais Vasco;Pais Vasco;extranjera;1981;;
16 Pais Vasco;Pais Vasco;extranjera;1980;;
16 Pais Vasco;Pais Vasco;extranjera;1979;;
16 Pais Vasco;Pais Vasco;extranjera;1978;;
16 Pais Vasco;Pais Vasco;extranjera;1977;;
16 Pais Vasco;Pais Vasco;extranjera;1976;;
16 Pais Vasco;Pais Vasco;extranjera;1975;;
17 Rioja, La;Rioja, La;ambas;2020;32.48;1.29
17 Rioja, La;Rioja, La;ambas;2019;32.3;1.32
17 Rioja, La;Rioja, La;ambas;2018;32.43;1.25
17 Rioja, La;Rioja, La;ambas;2017;32.14;1.35
17 Rioja, La;Rioja, La;ambas;2016;31.93;1.36
17 Rioja, La;Rioja, La;ambas;2015;32.15;1.34
17 Rioja, La;Rioja, La;ambas;2014;31.88;1.35
17 Rioja, La;Rioja, La;ambas;2013;31.85;1.33
17 Rioja, La;Rioja, La;ambas;2012;31.76;1.41
17 Rioja, La;Rioja, La;ambas;2011;31.52;1.37
17 Rioja, La;Rioja, La;ambas;2010;31.36;1.44
17 Rioja, La;Rioja, La;ambas;2009;31.08;1.41
17 Rioja, La;Rioja, La;ambas;2008;30.74;1.49
17 Rioja, La;Rioja, La;ambas;2007;30.82;1.41
17 Rioja, La;Rioja, La;ambas;2006;31.07;1.33
17 Rioja, La;Rioja, La;ambas;2005;30.99;1.33
17 Rioja, La;Rioja, La;ambas;2004;31.28;1.3
17 Rioja, La;Rioja, La;ambas;2003;31.18;1.31
17 Rioja, La;Rioja, La;ambas;2002;31.15;1.2
17 Rioja, La;Rioja, La;ambas;2001;31.24;1.15
17 Rioja, La;Rioja, La;ambas;2000;31.29;1.12
17 Rioja, La;Rioja, La;ambas;1999;31.18;1.09
17 Rioja, La;Rioja, La;ambas;1998;31.12;1.06
17 Rioja, La;Rioja, La;ambas;1997;30.91;1.06
17 Rioja, La;Rioja, La;ambas;1996;30.79;1.03
17 Rioja, La;Rioja, La;ambas;1995;30.55;1.02
17 Rioja, La;Rioja, La;ambas;1994;30.13;1.08
17 Rioja, La;Rioja, La;ambas;1993;30.1;1.08
17 Rioja, La;Rioja, La;ambas;1992;29.75;1.1
17 Rioja, La;Rioja, La;ambas;1991;29.57;1.14
17 Rioja, La;Rioja, La;ambas;1990;29.2;1.2
17 Rioja, La;Rioja, La;ambas;1989;29.16;1.25
17 Rioja, La;Rioja, La;ambas;1988;28.91;1.3
17 Rioja, La;Rioja, La;ambas;1987;29.11;1.32
17 Rioja, La;Rioja, La;ambas;1986;28.64;1.32
17 Rioja, La;Rioja, La;ambas;1985;28.5;1.49
17 Rioja, La;Rioja, La;ambas;1984;28.75;1.55
17 Rioja, La;Rioja, La;ambas;1983;28.59;1.65
17 Rioja, La;Rioja, La;ambas;1982;28.6;1.8
17 Rioja, La;Rioja, La;ambas;1981;28.63;1.85
17 Rioja, La;Rioja, La;ambas;1980;28.5;2.06
17 Rioja, La;Rioja, La;ambas;1979;28.43;2.18
17 Rioja, La;Rioja, La;ambas;1978;28.74;2.31
17 Rioja, La;Rioja, La;ambas;1977;28.73;2.29
17 Rioja, La;Rioja, La;ambas;1976;29.01;2.61
17 Rioja, La;Rioja, La;ambas;1975;29.17;2.39
17 Rioja, La;Rioja, La;espanola;2020;33.59;1.16
17 Rioja, La;Rioja, La;espanola;2019;33.43;1.15
17 Rioja, La;Rioja, La;espanola;2018;33.57;1.1
17 Rioja, La;Rioja, La;espanola;2017;33.27;1.18
17 Rioja, La;Rioja, La;espanola;2016;33.02;1.2
17 Rioja, La;Rioja, La;espanola;2015;33.12;1.2
17 Rioja, La;Rioja, La;espanola;2014;32.81;1.24
17 Rioja, La;Rioja, La;espanola;2013;32.96;1.19
17 Rioja, La;Rioja, La;espanola;2012;32.97;1.26
17 Rioja, La;Rioja, La;espanola;2011;32.86;1.19
17 Rioja, La;Rioja, La;espanola;2010;32.9;1.23
17 Rioja, La;Rioja, La;espanola;2009;32.43;1.25
17 Rioja, La;Rioja, La;espanola;2008;32.26;1.27
17 Rioja, La;Rioja, La;espanola;2007;32.32;1.2
17 Rioja, La;Rioja, La;espanola;2006;32.4;1.17
17 Rioja, La;Rioja, La;espanola;2005;32.11;1.2
17 Rioja, La;Rioja, La;espanola;2004;32.22;1.2
17 Rioja, La;Rioja, La;espanola;2003;31.94;1.23
17 Rioja, La;Rioja, La;espanola;2002;31.81;1.14
17 Rioja, La;Rioja, La;espanola;2001;;
17 Rioja, La;Rioja, La;espanola;2000;;
17 Rioja, La;Rioja, La;espanola;1999;;
17 Rioja, La;Rioja, La;espanola;1998;;
17 Rioja, La;Rioja, La;espanola;1997;;
17 Rioja, La;Rioja, La;espanola;1996;;
17 Rioja, La;Rioja, La;espanola;1995;;
17 Rioja, La;Rioja, La;espanola;1994;;
17 Rioja, La;Rioja, La;espanola;1993;;
17 Rioja, La;Rioja, La;espanola;1992;;
17 Rioja, La;Rioja, La;espanola;1991;;
17 Rioja, La;Rioja, La;espanola;1990;;
17 Rioja, La;Rioja, La;espanola;1989;;
17 Rioja, La;Rioja, La;espanola;1988;;
17 Rioja, La;Rioja, La;espanola;1987;;
17 Rioja, La;Rioja, La;espanola;1986;;
17 Rioja, La;Rioja, La;espanola;1985;;
17 Rioja, La;Rioja, La;espanola;1984;;
17 Rioja, La;Rioja, La;espanola;1983;;
17 Rioja, La;Rioja, La;espanola;1982;;
17 Rioja, La;Rioja, La;espanola;1981;;
17 Rioja, La;Rioja, La;espanola;1980;;
17 Rioja, La;Rioja, La;espanola;1979;;
17 Rioja, La;Rioja, La;espanola;1978;;
17 Rioja, La;Rioja, La;espanola;1977;;
17 Rioja, La;Rioja, La;espanola;1976;;
17 Rioja, La;Rioja, La;espanola;1975;;
17 Rioja, La;Rioja, La;extranjera;2020;29.78;1.76
17 Rioja, La;Rioja, La;extranjera;2019;29.58;1.95
17 Rioja, La;Rioja, La;extranjera;2018;29.59;1.9
17 Rioja, La;Rioja, La;extranjera;2017;29.28;2.14
17 Rioja, La;Rioja, La;extranjera;2016;28.96;2.09
17 Rioja, La;Rioja, La;extranjera;2015;29.42;1.9
17 Rioja, La;Rioja, La;extranjera;2014;29.1;1.74
17 Rioja, La;Rioja, La;extranjera;2013;29.05;1.78
17 Rioja, La;Rioja, La;extranjera;2012;28.92;1.81
17 Rioja, La;Rioja, La;extranjera;2011;28.93;1.87
17 Rioja, La;Rioja, La;extranjera;2010;28.49;2.06
17 Rioja, La;Rioja, La;extranjera;2009;28.18;1.83
17 Rioja, La;Rioja, La;extranjera;2008;27.77;2.11
17 Rioja, La;Rioja, La;extranjera;2007;27.82;2.06
17 Rioja, La;Rioja, La;extranjera;2006;27.64;1.98
17 Rioja, La;Rioja, La;extranjera;2005;27.69;1.96
17 Rioja, La;Rioja, La;extranjera;2004;27.88;1.89
17 Rioja, La;Rioja, La;extranjera;2003;27.59;1.92
17 Rioja, La;Rioja, La;extranjera;2002;27.06;1.84
17 Rioja, La;Rioja, La;extranjera;2001;;
17 Rioja, La;Rioja, La;extranjera;2000;;
17 Rioja, La;Rioja, La;extranjera;1999;;
17 Rioja, La;Rioja, La;extranjera;1998;;
17 Rioja, La;Rioja, La;extranjera;1997;;
17 Rioja, La;Rioja, La;extranjera;1996;;
17 Rioja, La;Rioja, La;extranjera;1995;;
17 Rioja, La;Rioja, La;extranjera;1994;;
17 Rioja, La;Rioja, La;extranjera;1993;;
17 Rioja, La;Rioja, La;extranjera;1992;;
17 Rioja, La;Rioja, La;extranjera;1991;;
17 Rioja, La;Rioja, La;extranjera;1990;;
17 Rioja, La;Rioja, La;extranjera;1989;;
17 Rioja, La;Rioja, La;extranjera;1988;;
17 Rioja, La;Rioja, La;extranjera;1987;;
17 Rioja, La;Rioja, La;extranjera;1986;;
17 Rioja, La;Rioja, La;extranjera;1985;;
17 Rioja, La;Rioja, La;extranjera;1984;;
17 Rioja, La;Rioja, La;extranjera;1983;;
17 Rioja, La;Rioja, La;extranjera;1982;;
17 Rioja, La;Rioja, La;extranjera;1981;;
17 Rioja, La;Rioja, La;extranjera;1980;;
17 Rioja, La;Rioja, La;extranjera;1979;;
17 Rioja, La;Rioja, La;extranjera;1978;;
17 Rioja, La;Rioja, La;extranjera;1977;;
17 Rioja, La;Rioja, La;extranjera;1976;;
17 Rioja, La;Rioja, La;extranjera;1975;;
18 Ceuta;Ceuta;ambas;2020;31.16;1.51
18 Ceuta;Ceuta;ambas;2019;30.51;1.5
18 Ceuta;Ceuta;ambas;2018;31.13;1.7
18 Ceuta;Ceuta;ambas;2017;30.52;1.81
18 Ceuta;Ceuta;ambas;2016;30.46;1.82
18 Ceuta;Ceuta;ambas;2015;30.29;1.86
18 Ceuta;Ceuta;ambas;2014;30.41;2
18 Ceuta;Ceuta;ambas;2013;29.96;1.79
18 Ceuta;Ceuta;ambas;2012;30.04;1.84
18 Ceuta;Ceuta;ambas;2011;29.89;1.9
18 Ceuta;Ceuta;ambas;2010;29.87;1.99
18 Ceuta;Ceuta;ambas;2009;29.69;1.98
18 Ceuta;Ceuta;ambas;2008;29.8;2.04
18 Ceuta;Ceuta;ambas;2007;29.34;1.99
18 Ceuta;Ceuta;ambas;2006;29.48;1.82
18 Ceuta;Ceuta;ambas;2005;29.77;1.88
18 Ceuta;Ceuta;ambas;2004;29.75;1.87
18 Ceuta;Ceuta;ambas;2003;29.81;1.76
18 Ceuta;Ceuta;ambas;2002;29.5;1.77
18 Ceuta;Ceuta;ambas;2001;29.5;1.66
18 Ceuta;Ceuta;ambas;2000;29.25;1.68
18 Ceuta;Ceuta;ambas;1999;29.65;1.73
18 Ceuta;Ceuta;ambas;1998;29.72;1.66
18 Ceuta;Ceuta;ambas;1997;29.45;1.74
18 Ceuta;Ceuta;ambas;1996;29.3;1.63
18 Ceuta;Ceuta;ambas;1995;29.54;1.81
18 Ceuta;Ceuta;ambas;1994;29.16;1.72
18 Ceuta;Ceuta;ambas;1993;28.88;1.93
18 Ceuta;Ceuta;ambas;1992;29.09;1.88
18 Ceuta;Ceuta;ambas;1991;28.52;1.84
18 Ceuta;Ceuta;ambas;1990;28.56;1.75
18 Ceuta;Ceuta;ambas;1989;28.6;1.9
18 Ceuta;Ceuta;ambas;1988;28.51;2.08
18 Ceuta;Ceuta;ambas;1987;28.54;1.99
18 Ceuta;Ceuta;ambas;1986;28.33;1.96
18 Ceuta;Ceuta;ambas;1985;28.34;2.16
18 Ceuta;Ceuta;ambas;1984;28.15;2.04
18 Ceuta;Ceuta;ambas;1983;28.28;2.21
18 Ceuta;Ceuta;ambas;1982;27.77;2.27
18 Ceuta;Ceuta;ambas;1981;27.87;2.48
18 Ceuta;Ceuta;ambas;1980;27.66;2.51
18 Ceuta;Ceuta;ambas;1979;27.59;2.62
18 Ceuta;Ceuta;ambas;1978;28;2.81
18 Ceuta;Ceuta;ambas;1977;27.73;2.77
18 Ceuta;Ceuta;ambas;1976;27.76;2.95
18 Ceuta;Ceuta;ambas;1975;28.11;3.06
18 Ceuta;Ceuta;espanola;2020;31.03;1.27
18 Ceuta;Ceuta;espanola;2019;30.47;1.3
18 Ceuta;Ceuta;espanola;2018;31.11;1.44
18 Ceuta;Ceuta;espanola;2017;30.47;1.58
18 Ceuta;Ceuta;espanola;2016;30.75;1.6
18 Ceuta;Ceuta;espanola;2015;30.38;1.65
18 Ceuta;Ceuta;espanola;2014;30.47;1.81
18 Ceuta;Ceuta;espanola;2013;30.12;1.6
18 Ceuta;Ceuta;espanola;2012;30.24;1.71
18 Ceuta;Ceuta;espanola;2011;29.99;1.72
18 Ceuta;Ceuta;espanola;2010;30.15;1.74
18 Ceuta;Ceuta;espanola;2009;29.93;1.73
18 Ceuta;Ceuta;espanola;2008;30.11;1.78
18 Ceuta;Ceuta;espanola;2007;29.3;1.83
18 Ceuta;Ceuta;espanola;2006;29.67;1.69
18 Ceuta;Ceuta;espanola;2005;29.88;1.76
18 Ceuta;Ceuta;espanola;2004;29.7;1.71
18 Ceuta;Ceuta;espanola;2003;29.83;1.67
18 Ceuta;Ceuta;espanola;2002;29.49;1.65
18 Ceuta;Ceuta;espanola;2001;;
18 Ceuta;Ceuta;espanola;2000;;
18 Ceuta;Ceuta;espanola;1999;;
18 Ceuta;Ceuta;espanola;1998;;
18 Ceuta;Ceuta;espanola;1997;;
18 Ceuta;Ceuta;espanola;1996;;
