ccaa;ccaa_2;nacionalidad;anio;edad_media_primer_hijo;ind_fecundidad
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2009;25.6;1.82
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2008;25.28;2
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2007;25.23;1.8
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2006;25.72;1.84
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2005;25.09;1.72
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2004;25.4;1.95
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2003;25.41;1.96
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2002;25.26;1.83
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2001;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2000;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1999;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1998;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1997;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1996;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1995;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1994;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1993;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1992;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1991;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1990;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1989;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1988;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1987;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1986;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1985;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1984;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1983;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1982;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1981;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1980;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1979;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1978;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1977;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1976;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;1975;;
09 Cataluna;Cataluna;ambas;2020;31.4;1.22
09 Cataluna;Cataluna;ambas;2019;31.28;1.29
09 Cataluna;Cataluna;ambas;2018;31.12;1.33
09 Cataluna;Cataluna;ambas;2017;31.04;1.39
09 Cataluna;Cataluna;ambas;2016;30.85;1.41
09 Cataluna;Cataluna;ambas;2015;30.76;1.41
09 Cataluna;Cataluna;ambas;2014;30.61;1.39
09 Cataluna;Cataluna;ambas;2013;30.41;1.34
09 Cataluna;Cataluna;ambas;2012;30.25;1.4
09 Cataluna;Cataluna;ambas;2011;30.16;1.43
09 Cataluna;Cataluna;ambas;2010;29.85;1.46
09 Cataluna;Cataluna;ambas;2009;29.58;1.46
09 Cataluna;Cataluna;ambas;2008;29.32;1.53
09 Cataluna;Cataluna;ambas;2007;29.49;1.45
09 Cataluna;Cataluna;ambas;2006;29.61;1.44
09 Cataluna;Cataluna;ambas;2005;29.69;1.41
09 Cataluna;Cataluna;ambas;2004;29.49;1.4
09 Cataluna;Cataluna;ambas;2003;29.54;1.36
09 Cataluna;Cataluna;ambas;2002;29.51;1.31
09 Cataluna;Cataluna;ambas;2001;29.54;1.28
09 Cataluna;Cataluna;ambas;2000;29.6;1.26
09 Cataluna;Cataluna;ambas;1999;29.57;1.19
09 Cataluna;Cataluna;ambas;1998;29.49;1.14
09 Cataluna;Cataluna;ambas;1997;29.31;1.16
09 Cataluna;Cataluna;ambas;1996;29.03;1.13
09 Cataluna;Cataluna;ambas;1995;28.97;1.13
09 Cataluna;Cataluna;ambas;1994;28.71;1.15
09 Cataluna;Cataluna;ambas;1993;28.46;1.19
09 Cataluna;Cataluna;ambas;1992;28.15;1.24
09 Cataluna;Cataluna;ambas;1991;27.84;1.23
09 Cataluna;Cataluna;ambas;1990;27.43;1.25
09 Cataluna;Cataluna;ambas;1989;27.17;1.27
09 Cataluna;Cataluna;ambas;1988;26.89;1.3
09 Cataluna;Cataluna;ambas;1987;26.75;1.32
09 Cataluna;Cataluna;ambas;1986;26.56;1.38
09 Cataluna;Cataluna;ambas;1985;26.34;1.48
09 Cataluna;Cataluna;ambas;1984;26.09;1.46
09 Cataluna;Cataluna;ambas;1983;25.96;1.44
09 Cataluna;Cataluna;ambas;1982;25.86;1.57
09 Cataluna;Cataluna;ambas;1981;25.58;1.61
09 Cataluna;Cataluna;ambas;1980;25.29;1.9
09 Cataluna;Cataluna;ambas;1979;24.74;2.14
09 Cataluna;Cataluna;ambas;1978;24.74;2.41
09 Cataluna;Cataluna;ambas;1977;24.75;2.6
09 Cataluna;Cataluna;ambas;1976;24.79;2.69
09 Cataluna;Cataluna;ambas;1975;25.09;2.86
09 Cataluna;Cataluna;espanola;2020;32.16;1.12
09 Cataluna;Cataluna;espanola;2019;32.02;1.17
09 Cataluna;Cataluna;espanola;2018;31.87;1.22
09 Cataluna;Cataluna;espanola;2017;31.75;1.27
09 Cataluna;Cataluna;espanola;2016;31.55;1.29
09 Cataluna;Cataluna;espanola;2015;31.5;1.3
09 Cataluna;Cataluna;espanola;2014;31.32;1.28
09 Cataluna;Cataluna;espanola;2013;31.2;1.24
09 Cataluna;Cataluna;espanola;2012;31.11;1.29
09 Cataluna;Cataluna;espanola;2011;31.09;1.32
09 Cataluna;Cataluna;espanola;2010;30.9;1.33
09 Cataluna;Cataluna;espanola;2009;30.6;1.34
09 Cataluna;Cataluna;espanola;2008;30.38;1.39
09 Cataluna;Cataluna;espanola;2007;30.43;1.34
09 Cataluna;Cataluna;espanola;2006;30.42;1.35
09 Cataluna;Cataluna;espanola;2005;30.42;1.33
09 Cataluna;Cataluna;espanola;2004;30.18;1.31
09 Cataluna;Cataluna;espanola;2003;30.07;1.29
09 Cataluna;Cataluna;espanola;2002;29.96;1.25
09 Cataluna;Cataluna;espanola;2001;;
09 Cataluna;Cataluna;espanola;2000;;
09 Cataluna;Cataluna;espanola;1999;;
09 Cataluna;Cataluna;espanola;1998;;
09 Cataluna;Cataluna;espanola;1997;;
09 Cataluna;Cataluna;espanola;1996;;
09 Cataluna;Cataluna;espanola;1995;;
09 Cataluna;Cataluna;espanola;1994;;
09 Cataluna;Cataluna;espanola;1993;;
09 Cataluna;Cataluna;espanola;1992;;
09 Cataluna;Cataluna;espanola;1991;;
09 Cataluna;Cataluna;espanola;1990;;
09 Cataluna;Cataluna;espanola;1989;;
09 Cataluna;Cataluna;espanola;1988;;
09 Cataluna;Cataluna;espanola;1987;;
09 Cataluna;Cataluna;espanola;1986;;
09 Cataluna;Cataluna;espanola;1985;;
09 Cataluna;Cataluna;espanola;1984;;
09 Cataluna;Cataluna;espanola;1983;;
09 Cataluna;Cataluna;espanola;1982;;
09 Cataluna;Cataluna;espanola;1981;;
09 Cataluna;Cataluna;espanola;1980;;
09 Cataluna;Cataluna;espanola;1979;;
09 Cataluna;Cataluna;espanola;1978;;
09 Cataluna;Cataluna;espanola;1977;;
09 Cataluna;Cataluna;espanola;1976;;
09 Cataluna;Cataluna;espanola;1975;;
09 Cataluna;Cataluna;extranjera;2020;29.25;1.54
09 Cataluna;Cataluna;extranjera;2019;29.07;1.68
09 Cataluna;Cataluna;extranjera;2018;28.75;1.74
09 Cataluna;Cataluna;extranjera;2017;28.69;1.86
09 Cataluna;Cataluna;extranjera;2016;28.35;1.88
09 Cataluna;Cataluna;extranjera;2015;28.12;1.85
09 Cataluna;Cataluna;extranjera;2014;28.16;1.83
09 Cataluna;Cataluna;extranjera;2013;27.92;1.69
09 Cataluna;Cataluna;extranjera;2012;27.7;1.73
09 Cataluna;Cataluna;extranjera;2011;27.71;1.77
09 Cataluna;Cataluna;extranjera;2010;27.21;1.86
09 Cataluna;Cataluna;extranjera;2009;27.14;1.8
09 Cataluna;Cataluna;extranjera;2008;26.85;1.9
09 Cataluna;Cataluna;extranjera;2007;27.24;1.79
09 Cataluna;Cataluna;extranjera;2006;27.28;1.76
09 Cataluna;Cataluna;extranjera;2005;27.29;1.77
09 Cataluna;Cataluna;extranjera;2004;26.91;1.86
09 Cataluna;Cataluna;extranjera;2003;27.16;1.84
09 Cataluna;Cataluna;extranjera;2002;26.9;1.96
09 Cataluna;Cataluna;extranjera;2001;;
09 Cataluna;Cataluna;extranjera;2000;;
09 Cataluna;Cataluna;extranjera;1999;;
09 Cataluna;Cataluna;extranjera;1998;;
09 Cataluna;Cataluna;extranjera;1997;;
09 Cataluna;Cataluna;extranjera;1996;;
09 Cataluna;Cataluna;extranjera;1995;;
09 Cataluna;Cataluna;extranjera;1994;;
09 Cataluna;Cataluna;extranjera;1993;;
09 Cataluna;Cataluna;extranjera;1992;;
09 Cataluna;Cataluna;extranjera;1991;;
09 Cataluna;Cataluna;extranjera;1990;;
09 Cataluna;Cataluna;extranjera;1989;;
09 Cataluna;Cataluna;extranjera;1988;;
09 Cataluna;Cataluna;extranjera;1987;;
09 Cataluna;Cataluna;extranjera;1986;;
09 Cataluna;Cataluna;extranjera;1985;;
09 Cataluna;Cataluna;extranjera;1984;;
09 Cataluna;Cataluna;extranjera;1983;;
09 Cataluna;Cataluna;extranjera;1982;;
09 Cataluna;Cataluna;extranjera;1981;;
09 Cataluna;Cataluna;extranjera;1980;;
09 Cataluna;Cataluna;extranjera;1979;;
09 Cataluna;Cataluna;extranjera;1978;;
09 Cataluna;Cataluna;extranjera;1977;;
09 Cataluna;Cataluna;extranjera;1976;;
09 Cataluna;Cataluna;extranjera;1975;;
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2020;31.11;1.2
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2019;31.04;1.25
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2018;30.99;1.26
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2017;30.78;1.31
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2016;30.68;1.32
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2015;30.68;1.32
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2014;30.37;1.31
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2013;30.34;1.26
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2012;30.2;1.31
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2011;30;1.32
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2010;29.65;1.37
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2009;29.43;1.36
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2008;29.09;1.47
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2007;29.18;1.41
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2006;29.31;1.4
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2005;29.2;1.36
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2004;29.26;1.35
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2003;29.2;1.34
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2002;29.24;1.29
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2001;29.11;1.26
10 Comunitat Valenciana;Comunitat Valenciana;ambas;2000;29.12;1.22
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1999;29.03;1.17
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1998;28.98;1.13
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1997;28.87;1.14
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1996;28.47;1.14
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1995;28.44;1.16
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1994;28.14;1.19
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1993;27.85;1.26
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1992;27.51;1.32
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1991;27.12;1.34
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1990;26.78;1.38
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1989;26.58;1.39
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1988;26.25;1.45
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1987;26.24;1.48
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1986;26.01;1.55
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1985;25.73;1.62
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1984;25.54;1.73
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1983;25.37;1.81
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1982;25.23;2
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1981;24.98;2.15
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1980;24.85;2.34
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1979;24.72;2.54
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1978;24.73;2.72
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1977;24.83;2.85
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1976;24.94;2.94
10 Comunitat Valenciana;Comunitat Valenciana;ambas;1975;25.23;2.91
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2020;31.84;1.14
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2019;31.68;1.19
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2018;31.65;1.19
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2017;31.37;1.26
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2016;31.29;1.28
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2015;31.24;1.29
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2014;30.99;1.28
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2013;30.94;1.24
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2012;30.89;1.28
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2011;30.73;1.29
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2010;30.46;1.31
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2009;30.28;1.3
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2008;30.14;1.38
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2007;30.09;1.35
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2006;30.06;1.34
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2005;29.9;1.31
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2004;29.87;1.3
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2003;29.71;1.29
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2002;29.64;1.24
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2001;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;2000;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1999;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1998;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1997;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1996;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1995;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1994;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1993;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1992;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1991;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1990;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1989;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1988;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1987;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1986;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1985;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1984;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1983;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1982;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1981;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1980;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1979;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1978;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1977;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1976;;
10 Comunitat Valenciana;Comunitat Valenciana;espanola;1975;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2020;28.06;1.47
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2019;28.14;1.52
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2018;27.91;1.59
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2017;27.74;1.6
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2016;27.57;1.59
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2015;27.68;1.53
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2014;27.09;1.49
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2013;27.29;1.39
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2012;26.97;1.44
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2011;26.84;1.48
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2010;26.5;1.58
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2009;26.27;1.56
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2008;25.74;1.78
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2007;26.03;1.66
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2006;26.24;1.65
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2005;25.94;1.66
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2004;26.12;1.73
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2003;25.96;1.76
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2002;26.03;1.84
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2001;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;2000;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1999;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1998;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1997;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1996;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1995;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1994;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1993;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1992;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1991;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1990;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1989;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1988;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1987;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1986;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1985;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1984;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1983;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1982;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1981;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1980;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1979;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1978;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1977;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1976;;
10 Comunitat Valenciana;Comunitat Valenciana;extranjera;1975;;
11 Extremadura;Extremadura;ambas;2020;30.93;1.19
11 Extremadura;Extremadura;ambas;2019;30.78;1.22
11 Extremadura;Extremadura;ambas;2018;31.03;1.22
11 Extremadura;Extremadura;ambas;2017;30.67;1.29
11 Extremadura;Extremadura;ambas;2016;30.67;1.3
11 Extremadura;Extremadura;ambas;2015;30.47;1.28
11 Extremadura;Extremadura;ambas;2014;30.24;1.29
11 Extremadura;Extremadura;ambas;2013;30.22;1.22
11 Extremadura;Extremadura;ambas;2012;30.14;1.27
11 Extremadura;Extremadura;ambas;2011;29.8;1.32
11 Extremadura;Extremadura;ambas;2010;29.72;1.34
11 Extremadura;Extremadura;ambas;2009;29.54;1.35
11 Extremadura;Extremadura;ambas;2008;29.28;1.4
11 Extremadura;Extremadura;ambas;2007;29.31;1.3
11 Extremadura;Extremadura;ambas;2006;29.28;1.31
11 Extremadura;Extremadura;ambas;2005;29.09;1.3
11 Extremadura;Extremadura;ambas;2004;29.11;1.28
11 Extremadura;Extremadura;ambas;2003;29.06;1.29
11 Extremadura;Extremadura;ambas;2002;28.81;1.26
11 Extremadura;Extremadura;ambas;2001;28.42;1.26
11 Extremadura;Extremadura;ambas;2000;28.25;1.28
11 Extremadura;Extremadura;ambas;1999;28.02;1.26
11 Extremadura;Extremadura;ambas;1998;27.74;1.25
11 Extremadura;Extremadura;ambas;1997;27.42;1.28
11 Extremadura;Extremadura;ambas;1996;27.23;1.31
11 Extremadura;Extremadura;ambas;1995;27.06;1.34
11 Extremadura;Extremadura;ambas;1994;26.98;1.4
11 Extremadura;Extremadura;ambas;1993;26.75;1.47
11 Extremadura;Extremadura;ambas;1992;26.55;1.56
11 Extremadura;Extremadura;ambas;1991;26.13;1.6
11 Extremadura;Extremadura;ambas;1990;25.95;1.63
11 Extremadura;Extremadura;ambas;1989;25.78;1.7
11 Extremadura;Extremadura;ambas;1988;25.51;1.79
11 Extremadura;Extremadura;ambas;1987;25.3;1.86
11 Extremadura;Extremadura;ambas;1986;25.32;1.9
11 Extremadura;Extremadura;ambas;1985;25.14;1.95
11 Extremadura;Extremadura;ambas;1984;25.3;2.07
11 Extremadura;Extremadura;ambas;1983;25.05;2.2
11 Extremadura;Extremadura;ambas;1982;25.12;2.36
11 Extremadura;Extremadura;ambas;1981;25.19;2.38
11 Extremadura;Extremadura;ambas;1980;24.83;2.48
11 Extremadura;Extremadura;ambas;1979;24.57;2.41
11 Extremadura;Extremadura;ambas;1978;24.69;2.41
11 Extremadura;Extremadura;ambas;1977;24.86;2.36
11 Extremadura;Extremadura;ambas;1976;24.95;2.43
11 Extremadura;Extremadura;ambas;1975;25.48;2.41
11 Extremadura;Extremadura;espanola;2020;31.25;1.16
11 Extremadura;Extremadura;espanola;2019;31.06;1.19
11 Extremadura;Extremadura;espanola;2018;31.34;1.19
11 Extremadura;Extremadura;espanola;2017;30.97;1.27
11 Extremadura;Extremadura;espanola;2016;30.98;1.28
11 Extremadura;Extremadura;espanola;2015;30.74;1.27
11 Extremadura;Extremadura;espanola;2014;30.5;1.28
11 Extremadura;Extremadura;espanola;2013;30.47;1.21
11 Extremadura;Extremadura;espanola;2012;30.38;1.27
11 Extremadura;Extremadura;espanola;2011;30.1;1.31
11 Extremadura;Extremadura;espanola;2010;29.99;1.31
11 Extremadura;Extremadura;espanola;2009;29.79;1.33
11 Extremadura;Extremadura;espanola;2008;29.51;1.38
11 Extremadura;Extremadura;espanola;2007;29.58;1.28
11 Extremadura;Extremadura;espanola;2006;29.44;1.3
11 Extremadura;Extremadura;espanola;2005;29.24;1.28
11 Extremadura;Extremadura;espanola;2004;29.24;1.25
11 Extremadura;Extremadura;espanola;2003;29.13;1.27
11 Extremadura;Extremadura;espanola;2002;28.91;1.24
11 Extremadura;Extremadura;espanola;2001;;
11 Extremadura;Extremadura;espanola;2000;;
11 Extremadura;Extremadura;espanola;1999;;
11 Extremadura;Extremadura;espanola;1998;;
11 Extremadura;Extremadura;espanola;1997;;
11 Extremadura;Extremadura;espanola;1996;;
11 Extremadura;Extremadura;espanola;1995;;
11 Extremadura;Extremadura;espanola;1994;;
11 Extremadura;Extremadura;espanola;1993;;
11 Extremadura;Extremadura;espanola;1992;;
11 Extremadura;Extremadura;espanola;1991;;
11 Extremadura;Extremadura;espanola;1990;;
11 Extremadura;Extremadura;espanola;1989;;
11 Extremadura;Extremadura;espanola;1988;;
11 Extremadura;Extremadura;espanola;1987;;
11 Extremadura;Extremadura;espanola;1986;;
11 Extremadura;Extremadura;espanola;1985;;
11 Extremadura;Extremadura;espanola;1984;;
11 Extremadura;Extremadura;espanola;1983;;
11 Extremadura;Extremadura;espanola;1982;;
11 Extremadura;Extremadura;espanola;1981;;
11 Extremadura;Extremadura;espanola;1980;;
11 Extremadura;Extremadura;espanola;1979;;
11 Extremadura;Extremadura;espanola;1978;;
11 Extremadura;Extremadura;espanola;1977;;
11 Extremadura;Extremadura;espanola;1976;;
11 Extremadura;Extremadura;espanola;1975;;
11 Extremadura;Extremadura;extranjera;2020;25.64;1.76
11 Extremadura;Extremadura;extranjera;2019;26.31;1.89
11 Extremadura;Extremadura;extranjera;2018;25.97;1.96
11 Extremadura;Extremadura;extranjera;2017;25.29;1.92
11 Extremadura;Extremadura;extranjera;2016;25.15;1.91
11 Extremadura;Extremadura;extranjera;2015;25.46;1.78
11 Extremadura;Extremadura;extranjera;2014;25.4;1.63
11 Extremadura;Extremadura;extranjera;2013;25.64;1.49
11 Extremadura;Extremadura;extranjera;2012;25.38;1.4
11 Extremadura;Extremadura;extranjera;2011;25.11;1.68
11 Extremadura;Extremadura;extranjera;2010;25.57;1.85
11 Extremadura;Extremadura;extranjera;2009;25.52;1.74
11 Extremadura;Extremadura;extranjera;2008;26.06;1.9
11 Extremadura;Extremadura;extranjera;2007;25.15;1.75
11 Extremadura;Extremadura;extranjera;2006;26.08;1.8
11 Extremadura;Extremadura;extranjera;2005;25.94;1.95
11 Extremadura;Extremadura;extranjera;2004;26.57;2.36
11 Extremadura;Extremadura;extranjera;2003;27.24;2.1
11 Extremadura;Extremadura;extranjera;2002;25.34;2.32
11 Extremadura;Extremadura;extranjera;2001;;
11 Extremadura;Extremadura;extranjera;2000;;
11 Extremadura;Extremadura;extranjera;1999;;
11 Extremadura;Extremadura;extranjera;1998;;
11 Extremadura;Extremadura;extranjera;1997;;
11 Extremadura;Extremadura;extranjera;1996;;
11 Extremadura;Extremadura;extranjera;1995;;
11 Extremadura;Extremadura;extranjera;1994;;
11 Extremadura;Extremadura;extranjera;1993;;
11 Extremadura;Extremadura;extranjera;1992;;
11 Extremadura;Extremadura;extranjera;1991;;
11 Extremadura;Extremadura;extranjera;1990;;
11 Extremadura;Extremadura;extranjera;1989;;
11 Extremadura;Extremadura;extranjera;1988;;
11 Extremadura;Extremadura;extranjera;1987;;
11 Extremadura;Extremadura;extranjera;1986;;
11 Extremadura;Extremadura;extranjera;1985;;
11 Extremadura;Extremadura;extranjera;1984;;
11 Extremadura;Extremadura;extranjera;1983;;
11 Extremadura;Extremadura;extranjera;1982;;
11 Extremadura;Extremadura;extranjera;1981;;
11 Extremadura;Extremadura;extranjera;1980;;
11 Extremadura;Extremadura;extranjera;1979;;
11 Extremadura;Extremadura;extranjera;1978;;
11 Extremadura;Extremadura;extranjera;1977;;
11 Extremadura;Extremadura;extranjera;1976;;
11 Extremadura;Extremadura;extranjera;1975;;
12 Galicia;Galicia;ambas;2020;31.9;1.02
12 Galicia;Galicia;ambas;2019;31.93;1.02
12 Galicia;Galicia;ambas;2018;31.71;1.05
12 Galicia;Galicia;ambas;2017;31.75;1.12
12 Galicia;Galicia;ambas;2016;31.56;1.12
12 Galicia;Galicia;ambas;2015;31.54;1.1
